symbol,name,sector,industry,metadata_source,sector_known,industry_known,metadata_updated_at_utc
JCAP,"Jefferson Capital, Inc.",Financial Services,Credit Services,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
AKER.OL,Aker ASA,Industrials,Conglomerates,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
SSABBH.HE,SSAB AB (publ),Basic Materials,Steel,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
FSLY,"Fastly, Inc.",Technology,Software - Application,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
CLMT,"Calumet, Inc.",Basic Materials,Specialty Chemicals,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
TKA.DE,thyssenkrupp AG,Industrials,Conglomerates,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
PBF,PBF Energy Inc.,Energy,Oil & Gas Refining & Marketing,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
HALO,"Halozyme Therapeutics, Inc.",Healthcare,Biotechnology,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
GENI,Genius Sports Limited,Communication Services,Internet Content & Information,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
NET,"Cloudflare, Inc.",Technology,Software - Infrastructure,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
NTAP,"NetApp, Inc.",Technology,Software - Infrastructure,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
ZETA,Zeta Global Holdings Corp.,Technology,Software - Infrastructure,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
CRDO,Credo Technology Group Holding Ltd,Technology,Semiconductors,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
DELL,Dell Technologies Inc.,Technology,Computer Hardware,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
RMAX,"RE/MAX Holdings, Inc.",Real Estate,Real Estate Services,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
ZD,"Ziff Davis, Inc.",Communication Services,Advertising Agencies,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
U,Unity Software Inc.,Technology,Software - Application,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
STX,Seagate Technology Holdings plc,Technology,Computer Hardware,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
PARR,"Par Pacific Holdings, Inc.",Energy,Oil & Gas Refining & Marketing,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
NWL,Newell Brands Inc.,Consumer Defensive,Household & Personal Products,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
NIQ,NIQ,Unknown,Unknown,unavailable,0,0,2026-08-17T09:30:15.291471+00:00
GPN,Global Payments Inc.,Industrials,Specialty Business Services,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
RSKD,Riskified Ltd.,Technology,Software - Application,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
SNDK,Sandisk Corporation,Technology,Computer Hardware,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
RNW,ReNew Energy Global Plc,Utilities,Utilities - Renewable,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
TWST,Twist Bioscience Corporation,Healthcare,Diagnostics & Research,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
CCC,CCC Intelligent Solutions Holdings Inc.,Technology,Software - Application,yahoo_get_info,1,1,2026-08-17T09:30:15.291471+00:00
