symbol,stage1_history_days,stage1_ret_5d,stage1_ret_20d,stage1_ret_63d,stage1_ret_126d,stage1_pullback_20d,stage1_median_volume_20d,discovery_order,value_seed,adaptive_deep_score,adaptive_momentum_score,adaptive_pullback_score,adaptive_volume_rank,deep_selection_tier,deep_selection_reason,deep_selected,discovery_dir_5d,discovery_dir_20d,discovery_dir_63d,discovery_dir_acceleration,discovery_dir_regime_shift,discovery_breakout_direction_score,discovery_breakout_confidence,discovery_breakout_direction,discovery_breakout_candidate,discovery_breakout_score,discovery_freshness_score,discovery_source_tier,prior_direction,prior_candidate,discovery_signal_freshness,fresh_discovery_rank
AAPL,358,-0.0004193300110453,-0.0879578643627373,0.0059587993681009,0.1407841445115647,0.0828609441197241,45476200.0,1,False,56.42583380214607,48.292388769589344,53.70838679815425,99.49974987493746,core,core,True,-0.008386403602418628,-0.6248864410956005,0.023830684773807436,0.40649291676613625,-0.7155644971715667,-0.14542079500248406,14.531167484615402,MIXED,False,57.2710397501242,50.68864109439701,core,MIXED,0.0,NONE,
MSFT,358,0.0228508065883048,0.252410440857161,0.1841348949382575,0.2691585014427382,0.0265272167650187,28923850.0,2,False,69.51957692413764,80.99954152185056,0.0,98.14907453726865,core,core,True,0.42764915881102994,0.9706504196355161,0.627049904049307,-0.6668428051468728,0.959498243317308,0.4275961014619403,42.64089286939995,MIXED,False,71.37980507309702,54.88117190922048,core,MIXED,0.0,NONE,
NVDA,358,-0.0304450817974261,0.0814172325879909,-0.0072684235175606,0.1060920104233293,0.0543719477766089,111362100.0,3,False,62.93144265588481,53.30529081715101,79.3243546240548,99.94997498749376,core,core,True,-0.5433534701216198,0.59052835357552,-0.029065505038033478,-0.7682272896562186,0.6843479705315934,-0.10494443927639534,10.493656450606444,MIXED,False,55.24722196381977,62.991297429524224,core,MIXED,0.0,NONE,
AMZN,358,0.0062053778215966,0.1308151991180755,-0.0159448560069379,0.2517261249259961,0.0808393505499814,34792200.0,4,False,63.98618776572525,60.83499269691259,53.02764303299814,98.64932466233115,core,core,True,0.12347426136791811,0.7969243683181901,-0.06369308354745436,-0.4853569649644956,0.8761076146810176,0.21725877643300745,21.681860732617718,MIXED,False,60.862938821650374,50.4422181044283,core,MIXED,0.0,NONE,
GOOGL,358,0.0080185332660209,0.0397051342161676,-0.1072638518099383,0.1174384195201885,0.0812657300077132,22930900.0,5,False,52.76674434400375,43.244224690237445,52.23485684025477,97.24862431215608,core,core,True,0.1590098189496713,0.3193077885201095,-0.40453159657685617,-0.03813650112675264,0.6276756808262071,0.12199042118567052,12.148695896717038,MIXED,False,56.099521059283525,59.74488812783916,core,MIXED,0.0,NONE,
META,358,0.0485220919161393,-0.0393656770340004,-0.0682001686272839,-0.1067310083361706,0.0485211769948233,14932250.0,6,False,36.00691262287766,27.806157783030574,0.0,94.59729864932466,core,core,True,0.748898385015769,-0.3167651070240033,-0.2662289390638213,0.8233950998760499,-0.17531820656801958,0.25269109720756466,25.064327540928424,MIXED,False,62.63455486037823,73.69227213103127,core,MIXED,0.0,NONE,
AVGO,358,-0.0612105520148026,-0.0634533438223236,-0.1533267524098848,0.1000464780961503,0.1660277209413819,18877150.0,7,False,39.95625560777872,33.69195279893951,0.0,96.5982991495748,core,core,True,-0.8408919680401556,-0.4844463303668429,-0.5464507981166223,-0.7196623908552204,-0.14671533324156563,-0.6139508042164514,61.081808875721784,DOWN,True,80.69754021082257,75.95654603452206,core,DOWN,1.0,CONTINUING,
JPM,358,-0.0180591811661218,-0.0017351742784242,0.1680800433412195,0.2113371782105568,0.023248782530955,5426300.0,8,False,68.04985535481933,70.44881770930644,56.44507893071011,83.0415207603802,core,core,True,-0.3462561755269185,-0.014458777961117808,0.5865040181501281,-0.3385976687569589,-0.5012237778959581,-0.13735785596682337,13.386378544360529,MIXED,False,56.86789279834117,69.77584034778043,core,MIXED,0.0,NONE,
LLY,358,0.0064696579485679,0.0120982384371965,0.1603094145273598,0.1875012851881581,0.036459013142433,2565250.0,9,False,65.01371331491832,69.93627973263499,57.468595996031006,64.032016008004,core,core,True,0.12867583700084093,0.10047844969209699,0.5657416708150473,0.0687931365218724,-0.36957984685786516,0.1253842567641216,11.861952835391124,MIXED,False,56.26921283820608,54.231870383051785,core,MIXED,0.0,NONE,
V,358,0.0546053936813657,0.0498204108607185,0.178796920097469,0.255294175135851,0.0,6798950.0,10,False,64.53666480082256,75.7341335481001,0.0,86.69334667333666,core,core,True,0.7976461956835192,0.3928537090099911,0.6139195891729374,0.6873978623508143,-0.06929393253501612,0.5601454035501554,54.89649125038066,MIXED,False,78.00727017750776,71.12778670703868,core,UP,1.0,NONE,
MA,358,0.0436349665949129,0.0650732920785206,0.2177739516996493,0.207643486306237,0.0008168410068023,3036100.0,11,False,62.62272711195443,76.82261210992344,0.0,69.43471735867934,core,core,True,0.7027429972604704,0.49470996328618827,0.7019304544450864,0.4985185856841709,-0.0405906431775705,0.5354346109855282,51.08860456544509,MIXED,False,76.77173054927641,65.49151777912807,core,UP,1.0,NONE,
COST,358,-0.0013938376807007,-0.0067971685820689,-0.0412727209889649,-0.0355542698026556,0.0143938267913266,1780800.0,12,False,35.38051905941366,36.88960213959229,0.0,52.87643821910956,core,core,True,-0.02786953472511029,-0.05658257057556709,-0.163607206234772,0.006109013298414777,0.06296939908318641,-0.039528841428639064,3.6734731726854823,MIXED,False,51.976442071431954,51.30050741615424,core,MIXED,0.0,NONE,
