,ret_20d_rank,ret_63d_rank,ret_126d_rank,mom_12_1_rank,relative_63d_rank,risk_adj_mom_126d_rank,dist_sma_200_rank,distance_52w_high_rank,quality_score,valuation_score,revisions_score,sector_score
ret_20d_rank,1.0,0.41992130615747186,0.4809778646015714,0.24720320792710168,0.421174538958733,0.4300717765842372,0.6321353022618045,0.44563380227648297,0.05215925640456022,-0.33090497534819874,0.2195719015773922,0.4193922640158693
ret_63d_rank,0.41992130615747186,1.0,0.4680465252141476,0.1843504402692678,0.9837833995872074,0.3623994434711511,0.6535478139862838,0.3827353301984355,0.14522203921046245,-0.22514140983142386,0.27593478966067286,0.9990271928770008
ret_126d_rank,0.4809778646015714,0.4680465252141476,1.0,0.4280205300034853,0.4627460447840064,0.9056168820697635,0.8537684227689121,0.4133262077785059,0.032109547499592044,-0.4079373889501589,0.2037901257022024,0.4649889655671277
mom_12_1_rank,0.24720320792710168,0.1843504402692678,0.4280205300034853,1.0,0.18672974465045244,0.4618095539057975,0.5673868959410968,0.4999643542352689,0.271610442090838,-0.23986406096357046,0.19502910967329065,0.18277964647740072
relative_63d_rank,0.421174538958733,0.9837833995872074,0.4627460447840064,0.18672974465045244,1.0,0.3762693869353579,0.6471401770229718,0.40743099257188853,0.15517185978141107,-0.23253478190275656,0.2771635676822052,0.9865439920288462
risk_adj_mom_126d_rank,0.4300717765842372,0.3623994434711511,0.9056168820697635,0.4618095539057975,0.3762693869353579,1.0,0.7805453842595141,0.5832587229413358,0.09252986105541398,-0.3376046458368334,0.1955692119517081,0.3608509970082108
dist_sma_200_rank,0.6321353022618045,0.6535478139862838,0.8537684227689121,0.5673868959410968,0.6471401770229718,0.7805453842595141,1.0,0.5897919899758216,0.13578547151058737,-0.4032976556980595,0.27411436572976405,0.6511148282694273
distance_52w_high_rank,0.44563380227648297,0.3827353301984355,0.4133262077785059,0.4999643542352689,0.40743099257188853,0.5832587229413358,0.5897919899758216,1.0,0.19310842550688873,-0.20803268327288504,0.18027807064381637,0.38359539632332856
quality_score,0.05215925640456022,0.14522203921046245,0.032109547499592044,0.271610442090838,0.15517185978141107,0.09252986105541398,0.13578547151058737,0.19310842550688873,1.0,-0.08239686980166698,0.12122334652622596,0.1475466311776923
valuation_score,-0.33090497534819874,-0.22514140983142386,-0.4079373889501589,-0.23986406096357046,-0.23253478190275656,-0.3376046458368334,-0.4032976556980595,-0.20803268327288504,-0.08239686980166698,1.0,-0.1205821528157568,-0.22315040940607458
revisions_score,0.2195719015773922,0.27593478966067286,0.2037901257022024,0.19502910967329065,0.2771635676822052,0.1955692119517081,0.27411436572976405,0.18027807064381637,0.12122334652622596,-0.1205821528157568,1.0,0.27676677368910885
sector_score,0.4193922640158693,0.9990271928770008,0.4649889655671277,0.18277964647740072,0.9865439920288462,0.3608509970082108,0.6511148282694273,0.38359539632332856,0.1475466311776923,-0.22315040940607458,0.27676677368910885,1.0
