symbol,stage1_history_days,stage1_ret_5d,stage1_ret_20d,stage1_ret_63d,stage1_ret_126d,stage1_pullback_20d,stage1_median_volume_20d,discovery_order,value_seed,adaptive_deep_score,adaptive_momentum_score,adaptive_pullback_score,adaptive_volume_rank,deep_selection_tier,deep_selection_reason,deep_selected,discovery_dir_5d,discovery_dir_20d,discovery_dir_63d,discovery_dir_acceleration,discovery_dir_regime_shift,discovery_breakout_direction_score,discovery_breakout_confidence,discovery_breakout_direction,discovery_breakout_candidate,discovery_breakout_score,discovery_freshness_score,discovery_source_tier,prior_direction,prior_candidate,discovery_signal_freshness,fresh_discovery_rank
0GYZ.L,262,-0.600414952188173,-0.720464435940733,-0.839232047358927,-0.8716855449915072,0.7465789443138894,2346.0,335,True,0.5017814692964996,0.0915225008663224,0.0,0.5002501250625313,core,core,True,-0.9999999999257402,-0.99998780640221,-0.9975749968014056,-0.9999999000710693,-0.9997723720170136,-0.9996104183144006,85.04189384224038,DOWN,True,99.98052091572004,99.99601326260748,core,MIXED,0.0,NEW,1.0
0QXR.IL,357,-0.4395603922151759,-0.4395603922151759,-0.2474175816013879,-0.4395603922151759,0.4395603922151759,9552234.0,303,True,24.73304909801164,5.27198490126133,0.0,92.24612306153077,core,core,True,-0.9999999537529671,-0.9986844722152806,-0.7572217155319404,-0.999996249669022,-0.9985379075689124,-0.9631074022001969,95.19056777874131,DOWN,True,98.15537011000984,99.97429149669918,core,MIXED,0.0,NEW,2.0
ALNTG.PA,361,0.2210647224331112,0.2589498187926333,0.3456784773394861,0.5910442891050536,0.0047169768882414,16729.0,1806,False,68.08491202455592,94.05205960810024,0.0,1.8009004502251125,adaptive,adaptive_momentum,True,0.999711145123852,0.9736411234674004,0.8815575288789556,0.9961583993997253,0.9037115554657397,0.9651600891623681,82.29933116466806,UP,True,98.25800445811839,98.19010020114152,adaptive,,,NEW,3.0
CNSL.L,358,-0.1902702667871647,-0.2115789239228264,-0.1439999852861676,-0.2115789239228264,0.2115789239228264,80598.5,354,True,19.094277183240003,15.267791225690882,0.0,9.954977488744372,core,core,True,-0.9990103492340883,-0.9428546378558019,-0.5197520280257346,-0.991819262788264,-0.9300346325792467,-0.9047468842536146,78.25449539142069,DOWN,True,95.23734421268074,98.50973211075541,core,,,NEW,4.0
JILL,355,0.2425181097249098,0.2734003235331319,0.6561844836229678,0.5800849438390685,0.0,84100.0,637,False,65.52277363957377,95.91856775606188,0.0,10.155077538769383,adaptive,adaptive_momentum,True,0.9998775292639223,0.979224213939285,0.9895543037062523,0.9981162979595178,0.5722606596177214,0.9500517833736116,82.20157901565776,UP,True,97.50258916868057,92.45334122699445,adaptive,,,NEW,5.0
QRVO,355,0.1620841274919136,0.1849857642507848,0.1944501039491295,0.4808938237544895,0.0,919250.0,1266,False,65.06405305743812,88.47373046347269,0.0,37.868934467233615,adaptive,adaptive_momentum,True,0.9969473506004529,0.9123801285706353,0.6514423887950545,0.9807459517203938,0.8433190449943755,0.9053766904855691,82.0998662752972,UP,True,95.26883452427845,96.63232671831437,adaptive,,,NEW,6.0
BESI.AS,361,-0.1045003225567663,-0.2458243849956504,-0.4108397132838252,-0.031638235190221,0.2594617163853148,354914.5,1945,False,23.29385273323591,16.616303404717343,0.0,23.261630815407702,not_selected,,False,-0.9698644033402093,-0.9673009918966226,-0.9279406569315334,-0.6967131222888275,-0.8190718331312047,-0.8932254752868343,79.04084758553682,DOWN,True,94.66127376434171,86.97693355418298,not_selected,MIXED,0.0,NEW,7.0
CG,355,-0.1132984261238138,-0.1705337234056942,-0.0428089310996414,-0.0519542806498575,0.1429150031421058,3151200.0,1162,False,35.40661394674609,32.82072591097601,0.0,70.18509254627313,not_selected,,False,-0.9787094550342537,-0.8898311652896159,-0.169581484403637,-0.8881928327355555,-0.9169359816078707,-0.8108400152011238,77.45773351816237,DOWN,True,90.5420007600562,94.9126467420433,not_selected,,,NEW,8.0
RCUS,355,-0.1838698693159125,-0.1479556606881047,0.0553648479728485,0.0832598822082022,0.221095964830835,1192400.0,810,False,43.65843765109463,52.49620525144682,0.0,43.871935967984,not_selected,,False,-0.9987217801437429,-0.8434368730180053,0.21790859661398032,-0.9943994763410883,-0.9295837862350965,-0.7696277366972545,70.4831164368016,DOWN,True,88.48138683486272,98.58569924019955,not_selected,,,NEW,9.0
0QC9.L,315,-0.123521285785461,-0.1231709803521645,-0.2181090465293824,-0.2405148652939021,0.1835943162750403,30189.5,242,True,8.914045328796353,12.760103125969366,0.0,3.7518759379689848,core,core,True,-0.9858044583317492,-0.7724704914788746,-0.7026097807918066,-0.9521745671976626,-0.49245800982633775,-0.8339311419101807,71.35346799015373,DOWN,True,91.69655709550904,89.56368860588495,core,MIXED,0.0,NEW,10.0
