symbol,rank,consensus_score,risk_score,data_confidence,lineage_confidence_v2,sector,industry,portfolio_priority_score,portfolio_concentration_penalty,diagnostic_weight_pct,suggested_max_position_pct,portfolio_note,metadata_source,effective_max_position_pct
PSX,1.0,82.12261732094717,3.400926552366802,69.68181818181819,83.8609090909091,Energy,Oil & Gas Refining & Marketing,77.74444392806937,3.0,12.0,12.0,sector concentration,yahoo_get_info,12.0
JCAP,6.0,77.6620763964798,5.59001643508027,67.63636363636363,82.83818181818182,Financial Services,Credit Services,72.65863191853319,0.0,12.0,12.0,ok,yahoo_get_info,12.0
AVAH,3.0,79.13325357163359,7.432829295772899,68.6590909090909,83.34954545454545,Healthcare,Medical Care Facilities,71.24267215294239,0.0,12.0,12.0,ok,yahoo_get_info,12.0
HPE,10.0,76.4603443389299,6.8899126447762296,67.86363636363636,82.95181818181818,Technology,Communication Equipment,69.39070228910612,0.0,11.716150714060307,12.0,ok,yahoo_get_info,12.0
MU,5.0,78.36753899801529,8.261578163171386,69.68181818181819,83.8609090909091,Technology,Semiconductors,69.21232302785016,0.0,11.58912143780664,12.0,ok,yahoo_get_info,12.0
ERO,8.0,77.26587987695679,7.671718596066515,69.68181818181819,83.8609090909091,Basic Materials,Copper,69.05443921415946,0.0,11.47825214801361,12.0,ok,yahoo_get_info,12.0
TGB,9.0,76.96364590447008,7.704051388801115,69.22727272727273,83.63363636363638,Basic Materials,Copper,68.67320004602468,0.0,11.216475700119423,12.0,ok,yahoo_get_info,12.0
DHT,2.0,79.25194138928978,4.314527889815562,69.68181818181819,83.8609090909091,Energy,Oil & Gas Midstream,73.41200585649398,3.0,8.767794627956475,12.0,sector concentration,yahoo_get_info,12.0
SM,4.0,78.89912967309203,7.137312594916563,68.6590909090909,83.34954545454545,Energy,Oil & Gas E&P,68.48137497577099,3.0,4.712224017311796,12.0,sector concentration,yahoo_get_info,12.0
CRGY,7.0,77.26825892147205,6.240375940345195,67.04545454545455,82.54272727272728,Energy,Oil & Gas E&P,68.18878468964701,3.0,4.51998135473172,12.0,sector concentration,yahoo_get_info,12.0
