symbol,rank,consensus_score,days_in_top10_30,days_in_top25_30,consecutive_top10,consecutive_top25,signal_age_runs,rank_std_10run,persistence_history_runs,persistence_label
MPC,1.0,86.28460133838132,8.0,8.0,5.0,5.0,5,1.165922381636102,8.0,persistent_top10
MU,2.0,83.81249653449487,2.0,11.0,1.0,4.0,4,25.26974475533934,28.0,rotating
VLO,3.0,82.87075621436571,17.0,18.0,2.0,2.0,2,2.7658633371878665,18.0,rotating
DELL,4.0,82.54642702335104,15.0,21.0,4.0,12.0,12,5.946427498927402,29.0,persistent_top25
CMBT.BR,5.0,82.02354643581742,17.0,20.0,5.0,9.0,9,10.02796090937734,30.0,persistent_top10
FRO,6.0,81.90848898715713,24.0,26.0,11.0,13.0,13,1.9899748742132402,29.0,persistent_top10
AMC,7.0,81.08319325659872,1.0,9.0,1.0,2.0,2,68.09853155538671,28.0,rotating
PSX,8.0,80.95237075812679,4.0,7.0,0.0,2.0,2,21.003233143236205,9.0,rotating
HPE,9.0,80.86302585915182,8.0,17.0,0.0,6.0,6,16.353592877407703,27.0,persistent_top25
GH,10.0,80.82665994619956,2.0,4.0,0.0,1.0,1,45.1734435260364,10.0,new_top25
HSHP,11.0,80.20082743024176,1.0,2.0,0.0,2.0,2,3.0,2.0,rotating
DHT,12.0,78.91350614545954,8.0,14.0,0.0,9.0,9,8.627861844049196,30.0,persistent_top25
TRMD,13.0,78.46725877975263,0.0,3.0,0.0,1.0,1,54.1,12.0,new_top25
OKTA,14.0,78.20465682175694,5.0,16.0,0.0,2.0,2,14.540976583434828,28.0,rotating
HALO,15.0,78.11618905996944,2.0,6.0,0.0,3.0,3,11.9505785019225,7.0,rotating
NAT,16.0,77.7562158804818,6.0,16.0,0.0,9.0,9,5.2,28.0,persistent_top25
FSM,17.0,77.53767300384501,0.0,1.0,0.0,1.0,1,84.80336078245955,30.0,new_top25
KIN.BR,18.0,77.15361834213039,8.0,26.0,0.0,22.0,22,5.040833264451424,30.0,persistent_top25
P,19.0,76.9054754156948,0.0,2.0,0.0,2.0,2,111.88672843550302,23.0,rotating
UGP,20.0,76.01386838112258,6.0,10.0,0.0,0.0,0,18.238695128764007,30.0,new_top25
REP.MC,21.0,75.75079359440099,0.0,4.0,0.0,0.0,0,10.425449630591478,30.0,new_top25
ABN.AS,22.0,75.42315225742318,0.0,9.0,0.0,0.0,0,13.209466302617981,30.0,new_top25
DINO,23.0,75.36717290845948,7.0,18.0,0.0,0.0,0,5.8,27.0,new_top25
RBRK,24.0,75.33365688119544,0.0,1.0,0.0,0.0,0,118.40591201456117,28.0,new_top25
BFLY,25.0,75.21512395967241,0.0,0.0,0.0,0.0,0,133.3152654424841,27.0,new_top25
BIRG.IR,26.0,75.01488923110301,0.0,1.0,0.0,0.0,0,17.523983565388324,30.0,rotating
AVAH,27.0,74.8557319248885,13.0,20.0,0.0,0.0,0,10.094057657849989,30.0,rotating
PBF,28.0,74.78811526654385,5.0,16.0,0.0,0.0,0,16.4730082255792,30.0,rotating
SM,29.0,74.61573120329601,11.0,16.0,0.0,0.0,0,14.804053498957641,30.0,rotating
PARR,30.0,74.54834445334824,6.0,24.0,0.0,0.0,0,9.58331884056875,29.0,rotating
CRGY,31.0,74.54244845178314,15.0,19.0,0.0,0.0,0,41.7781043131447,30.0,rotating
CIRSA.MC,32.0,74.13591173399882,0.0,4.0,0.0,0.0,0,5.107837115648853,17.0,rotating
WT,33.0,73.97079426145515,2.0,11.0,0.0,0.0,0,31.87851941354868,25.0,rotating
MT.AS,34.0,73.87288126473086,0.0,5.0,0.0,0.0,0,73.1179868431838,26.0,rotating
AMRX,35.0,73.81193567699867,0.0,0.0,0.0,0.0,0,52.287761474364146,10.0,rotating
PANW,36.0,73.80636939796761,0.0,0.0,0.0,0.0,0,169.91056470979078,30.0,rotating
NTAP,37.0,73.52665634516518,0.0,0.0,0.0,0.0,0,49.756306132991824,15.0,rotating
SNOW,38.0,73.45642738812731,1.0,1.0,0.0,0.0,0,60.7898840268675,28.0,rotating
APA,39.0,73.45475362296966,0.0,8.0,0.0,0.0,0,24.939125886846956,30.0,rotating
PBR-A,40.0,73.45041236754705,0.0,1.0,0.0,0.0,0,13.345036530485782,30.0,rotating
DFDS.CO,41.0,73.29842350054919,0.0,0.0,0.0,0.0,0,30.961912085657755,12.0,rotating
SHELL.AS,42.0,73.24827667721122,0.0,8.0,0.0,0.0,0,33.45145736735546,30.0,rotating
XP,43.0,72.88390748746363,0.0,0.0,0.0,0.0,0,104.51908916556822,21.0,rotating
C5H.IR,44.0,72.85482451954391,0.0,1.0,0.0,0.0,0,19.487431847218865,23.0,rotating
OMV.VI,45.0,72.85441917746076,0.0,1.0,0.0,0.0,0,26.222890763605758,30.0,rotating
AMS.SW,46.0,72.82982756530805,0.0,0.0,0.0,0.0,0,194.419006272535,4.0,rotating
SHC,47.0,72.7856998974994,0.0,0.0,0.0,0.0,0,65.25649392972319,23.0,rotating
ASX,48.0,72.75775557314682,0.0,0.0,0.0,0.0,0,123.66523359457176,27.0,rotating
ANET,49.0,72.70736109540918,0.0,0.0,0.0,0.0,0,93.08598175880189,29.0,rotating
AMD,50.0,72.6901579567895,0.0,0.0,0.0,0.0,0,115.97417816048537,30.0,rotating
DAR,51.0,72.57967558192423,0.0,4.0,0.0,0.0,0,12.361634196173256,19.0,rotating
DOCM.SW,52.0,72.50984885383104,1.0,5.0,0.0,0.0,0,133.24792681314034,28.0,rotating
EQNR,53.0,72.49276524262041,0.0,8.0,0.0,0.0,0,15.52449677123223,18.0,rotating
SMTC,54.0,72.47985460697089,0.0,1.0,0.0,0.0,0,18.181309083781617,12.0,rotating
NESTE.HE,55.0,72.25785574675398,0.0,0.0,0.0,0.0,0,21.311030007955974,24.0,rotating
PRT.MI,56.0,72.24627438444087,0.0,0.0,0.0,0.0,0,30.025988743087215,29.0,rotating
TWLO,57.0,72.20397292015879,0.0,0.0,0.0,0.0,0,101.16665141253165,9.0,rotating
GTLB,58.0,72.16437446455814,0.0,7.0,0.0,0.0,0,26.0286380742443,30.0,rotating
CRWD,59.0,72.15621532788312,1.0,1.0,0.0,0.0,0,94.08528046405559,30.0,rotating
