symbol,name,region,history_days,fetch_error,price_business_days_lag,security_id,economic_company_id,sector,industry,accounting_model,ret_63d,ret_126d,dist_sma_50,dist_sma_200,type,exchange,is_delisted,market_cap_eur,price_eur,median_turnover_eur_20d,days_to_earnings,next_earnings,ret_63d_rank,ret_126d_rank,dist_sma_50_rank,dist_sma_200_rank,rsi_setup_score,sector_ret_63d,sector_ret_126d,sector_ret_63d_rank,sector_ret_126d_rank,stock_vs_sector_63d,stock_vs_sector_63d_rank,estimate_confidence_score,information_freshness_score,quality_score,valuation_score,revisions_score_raw,revisions_score,reaction_score,sector_score,technical_short_score,technical_swing_score,technical_medium_score,technical_long_score,short_score,swing_score,medium_score,long_score,consensus_score,best_fit_horizon,data_confidence,risk_score,exclusion_reasons,excluded,event_watch,duplicate_of,market_regime_score,economic_company_group_size,score_change_1run,score_velocity_5run,score_velocity_20run,score_acceleration,rank_change,rank
AAPL,AAPL,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:AAPL,TICKER:AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
MSFT,MSFT,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:MSFT,TICKER:MSFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
NVDA,NVDA,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:NVDA,TICKER:NVDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
AMZN,AMZN,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:AMZN,TICKER:AMZN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
GOOGL,GOOGL,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:GOOGL,TICKER:GOOGL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
META,META,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:META,TICKER:META,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
AVGO,AVGO,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:AVGO,TICKER:AVGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
JPM,JPM,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:JPM,TICKER:JPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
LLY,LLY,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:LLY,TICKER:LLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
V,V,OTHER,0,No price history; refresh=No module named 'scipy',,TICKER:V,TICKER:V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.5,"['market cap EUR unavailable', 'EUR price unavailable', 'EUR liquidity unavailable', 'insufficient price history', 'asset type excluded: nan', 'delisted', 'data confidence < 55']",True,False,,,1,,,,,,
