symbol,name,region,market_cap_eur,rank,value_rank,pullback_rank,quality_value_rank,consensus_score,short_score,swing_score,medium_score,long_score,quality_score,revisions_score,valuation_score,risk_score,data_confidence,pullback_setup_score,pullback_opportunity_score,value_conviction_score,undervaluation_score,core_overlap_count,strategy_count,high_conviction_overlap,strategy_labels,deep_selection_tier,deep_selection_reason
SM,SM,US,7866883977.968981,6.0,,2.0,,84.14347386247941,81.66812141781834,84.29433069924912,83.9926170257097,87.14477807316003,83.12043421160632,81.10386251410152,96.09632746597129,7.241377881064265,72.11363636363636,56.571550642899815,79.42256416549601,69.34140963590792,62.41903985004621,2,2,True,"main,pullback",core,core
CRGY,CRGY,US,4910029289.572092,8.0,,3.0,,83.41195315626848,83.71024471360444,83.11366159893254,81.06724887483533,84.32301259888119,72.61424731182795,89.2584430707598,94.92967965675842,6.640323023830925,69.22727272727273,62.53572380507985,79.14709685054376,65.27244237896116,57.16606248944518,2,2,True,"main,pullback",core,core
PARR,"Par Pacific Holdings, Inc.",US,3686599952.548491,11.0,9.0,,5.0,80.32697731663255,80.22144731836093,82.97625308588714,80.43250731490417,76.08760646645416,80.43478260869566,76.48316503018339,60.500000000000014,7.170701956567726,84.98359925204929,30.95238095238095,73.69041496206735,68.87808968802791,65.3979720543188,1,2,False,"value,quality_value",core,core
PBR-A,Petróleo Brasileiro S.A. - Petrobras,OTHER,112094753002.40643,47.0,6.0,14.0,6.0,73.50100274388578,81.42076497115139,75.73327531553107,69.74549123347485,71.26873017224048,61.57608695652174,80.38460821462502,73.95,3.84557249530766,84.47466435682429,59.83171213210766,74.05804792888995,70.17362713204945,75.89187901881401,1,2,False,"value,quality_value",core,core
DDI,"DoubleDown Interactive Co., Ltd.",OTHER,546746530.4949435,81.0,2.0,43.0,2.0,69.99343965540942,66.26426380030237,66.50180459038833,73.4850747204305,75.73978034214699,92.68774703557314,66.75571403894361,66.5,2.8327478066930087,85.39765859439511,48.01147363178844,69.0035298529186,71.29925199869217,64.21855291824332,1,2,False,"value,quality_value",core,core
NVDA,NVIDIA Corporation,US,4476697763559.443,140.0,3.0,26.0,4.0,65.80163430987878,59.37964155000313,63.26327905549114,68.3399895642664,69.08047834448641,87.52587991718427,79.51628437353892,39.58585858585859,5.872013918787755,90.11967811722796,73.71910775272204,72.12212433012157,71.19854939742129,61.636103834246256,1,2,False,"value,quality_value",core,core
IRWD,"Ironwood Pharmaceuticals, Inc.",US,597220835.3162314,166.0,4.0,,3.0,64.73941069684267,52.61341692106146,57.73632134018752,71.74250005349784,79.87658157378999,89.46488294314382,54.13460273884988,82.30676328502416,6.845403563188323,83.4274689392182,64.6420163318148,64.57763011932224,70.85201075537644,68.38361615451399,1,2,False,"value,quality_value",core,core
NWL.MI,NewPrinces S.p.A.,EUROPE,782453696.0,188.0,10.0,,9.0,63.79971016973533,74.3474908021936,61.19074984348519,55.70992514556387,66.40867049598549,75.4968944099379,39.85632654780285,79.93333333333334,5.730587040857672,78.55708733502212,30.95238095238095,62.89443040811196,68.44037348746826,74.5375883146781,1,2,False,"value,quality_value",core,core
BION.SW,BB Biotech AG,EUROPE,3017479233.7813525,207.0,1.0,108.0,1.0,62.85487765344301,39.13438134029831,56.79140090403657,68.91835440284945,77.52674676909729,84.63768115942031,57.98477247281056,89.33333333333334,2.2530975044976937,78.8976705901411,60.68221751194446,63.1232851816156,75.65798565215353,76.12153927943402,1,2,False,"value,quality_value",core,core
STNE,StoneCo Ltd.,OTHER,1942679541.1624897,539.0,7.0,185.0,8.0,49.12180689201031,54.28318961463821,33.02542440140531,43.96042416938242,62.932944856246834,84.17874396135267,32.626200172902955,78.88888888888889,7.146864817847983,85.63125131866346,69.0486806021203,59.22857571584312,69.41370868074085,72.39686697891032,1,2,False,"value,quality_value",core,core
AVGO,Broadcom Inc.,US,1404705111544.1245,572.0,8.0,234.0,7.0,47.68137720925105,37.92456770214713,41.22856043540936,54.134193983092736,62.35850531926977,92.78656126482214,43.87765999967681,36.92929292929293,6.003739632992387,90.52141339819164,71.42073080607805,56.46635109153234,69.34093343136328,62.75065491783759,1,2,False,"value,quality_value",core,core
BBWI,"Bath & Body Works, Inc.",US,2923936144.982808,659.0,5.0,,10.0,38.65399752797949,33.179153209663895,30.65725446350098,44.12884184629509,60.88540271699191,76.3664596273292,33.80058020300855,79.34782608695653,7.561068202577379,88.54639258779541,32.811849361829886,41.85473296502356,70.84881170106902,77.56268499302556,1,2,False,"value,quality_value",core,core
FRO,FRO,US,10355837383.63081,1.0,,,,87.06762298267529,88.43672158843877,88.63581521416138,85.69852437691182,81.49273829150906,92.78072929491915,78.31865925682904,56.41306085210549,5.66797798072848,73.13636363636364,30.95238095238095,79.26470949744602,68.25511741518318,56.48992917377351,1,1,False,main,adaptive,adaptive_momentum
VLO,VLO,US,100640683250.5058,2.0,,,,86.44201293966405,86.73621799195996,90.43670703020666,86.14780788736815,80.87515045152344,87.21533078880407,81.44137308360182,59.39092220132937,3.454441810535533,69.68181818181819,30.95238095238095,79.52048277826155,65.575072344367,52.09820284728647,1,1,False,main,adaptive,adaptive_momentum
DHT,DHT,US,3219787227.200794,3.0,,,,86.10946540919645,88.1896572086742,87.62571350241437,84.59321731597852,82.11648312696444,91.01262004432404,80.82120260421352,61.741279325585616,4.78137396901095,73.13636363636364,30.95238095238095,79.06339014669108,69.82897365671438,58.77757480023591,1,1,False,main,adaptive,adaptive_momentum
CMBT.BR,CMBT.BR,EUROPE,5008330240.0,4.0,,,,85.97154632797836,86.37770676491309,86.44345497514276,85.56538589104362,83.15551924616076,96.29065694533502,75.60117069599148,61.79120296767355,4.021080378724019,73.13636363636364,30.95238095238095,78.46289162389424,70.45281769377397,58.69120930734496,1,1,False,main,adaptive,adaptive_momentum
DELL,DELL,US,310416684760.94446,5.0,,,,84.28607256523144,91.83435985285264,87.52999814072201,81.04214698974086,69.2165964169239,75.09955470737914,81.12206700339857,33.98328690807799,7.942206863790687,72.22727272727273,35.31732757950277,78.40300005533734,55.48070122841948,42.13341583248623,1,1,False,main,adaptive,adaptive_momentum
AVAH,AVAH,US,2697979056.0892305,7.0,,,,83.7459621058571,87.58198587950194,86.48262975002368,81.00929446169053,75.0764527487943,94.38457725416563,67.04510536139175,38.124742954945056,7.885449955989401,72.11363636363636,36.9587519370421,78.26848698534918,60.05446746022752,45.90698442365441,1,1,False,main,core,core
NAT,NAT,US,1466409834.835262,9.0,,,,82.76088109624632,87.56577505505268,85.26184831068907,80.25991388180357,73.86498743917957,88.75142616761059,67.37339743389825,38.71632822026943,5.094280950628956,73.13636363636364,30.95238095238095,76.28203951899033,63.29672284642988,52.2128734695012,1,1,False,main,adaptive,adaptive_momentum
DINO,DINO,US,17561706536.973305,10.0,,,,82.04630603148011,84.22075357642505,89.59215808045606,79.87185848653517,70.63093784613184,51.07550993187228,86.27101805701332,72.96038677535745,4.52594902221953,73.13636363636364,30.95238095238095,72.59469087801162,58.213142771450734,53.44493952803151,1,1,False,main,adaptive,adaptive_momentum
PBF,PBF,US,7801006064.69172,13.0,,9.0,,79.6529525417408,74.66413147477503,86.34980575979705,82.07944366764295,77.22646141583867,53.75224014336919,87.1364093697852,91.9405038352469,7.847420606275119,72.68181818181819,57.734238808363415,75.65594813529465,60.531860499907296,57.91909843476141,1,1,False,pullback,core,core
TALO,TALO,US,2520917630.828243,14.0,,1.0,,79.64397160972086,79.74802507024309,82.19194556083626,79.53991814919864,77.35726381600995,69.3590248707215,95.33582451471015,70.93779015784587,5.816075744803721,69.68181818181819,69.01771564921326,79.62080877915095,64.43632962656893,54.96979247955664,1,1,False,pullback,core,core
APA,APA,US,13600939228.101171,17.0,,5.0,,78.82729356931648,79.15646181065146,79.855834715085,78.49812532798151,78.00394636782626,77.87442671140113,77.9312753701641,67.53249318886728,6.095966393599135,72.11363636363636,70.99600900078428,77.84189535546498,62.49563855297907,52.97575915938711,1,1,False,pullback,core,core
