factor,base_weight,raw_adjusted_weight,max_abs_correlation,most_correlated_with,penalty_fraction,adjusted_weight,horizon,guard_enabled,threshold,strength,max_penalty
ret_5d_rank,0.12,0.12,0.6993975831954611,dist_sma_20_rank,0.0,0.13158888514085587,short,True,0.85,0.25,0.25
ret_20d_rank,0.18,0.13796057243604193,0.9901314252131935,ret_eur_20d_rank,0.23355237535532256,0.15128398266877538,short,True,0.85,0.25,0.25
ret_eur_20d_rank,0.08,0.061315809971574195,0.9901314252131935,ret_20d_rank,0.23355237535532256,0.06723732563056685,short,True,0.85,0.25,0.25
relative_20d_rank,0.14,0.11265474210604741,0.967193962402654,ret_20d_rank,0.19532327067108998,0.12353426599637843,short,True,0.85,0.25,0.25
dist_sma_20_rank,0.08,0.08,0.8386438359593826,ret_20d_rank,0.0,0.08772592342723724,short,True,0.85,0.25,0.25
dist_sma_50_rank,0.07,0.07,0.8256747908535217,rsi_setup_score,0.0,0.0767601829988326,short,True,0.85,0.25,0.25
volume_ratio_20_60_rank,0.1,0.1,0.19794370112345758,relative_20d_rank,0.0,0.10965740428404656,short,True,0.85,0.25,0.25
rsi_setup_score,0.13,0.13,0.8256747908535217,dist_sma_50_rank,0.0,0.14255462556926052,short,True,0.85,0.25,0.25
distance_52w_high_rank,0.1,0.1,0.4896548719872979,dist_sma_20_rank,0.0,0.10965740428404656,short,True,0.85,0.25,0.25
ret_20d_rank,0.08,0.08,0.776939807694471,dist_sma_50_rank,0.0,0.09066252897528847,swing,True,0.85,0.25,0.25
ret_63d_rank,0.19,0.14266421637480087,0.999481421974313,ret_eur_63d_rank,0.24913570329052168,0.16167873313521508,swing,True,0.85,0.25,0.25
ret_126d_rank,0.12,0.11089287963612993,0.8955356018193503,risk_adj_mom_126d_rank,0.07589266969891724,0.12567286141454756,swing,True,0.85,0.25,0.25
ret_eur_63d_rank,0.08,0.060069143736758264,0.999481421974313,ret_63d_rank,0.24913570329052168,0.06807525605693267,swing,True,0.85,0.25,0.25
relative_63d_rank,0.12,0.0912186389232825,0.9939068053835876,ret_63d_rank,0.23984467563931258,0.10337640618085595,swing,True,0.85,0.25,0.25
risk_adj_mom_126d_rank,0.12,0.11089287963612993,0.8955356018193503,ret_126d_rank,0.07589266969891724,0.12567286141454756,swing,True,0.85,0.25,0.25
dist_sma_50_rank,0.08,0.08,0.776939807694471,ret_20d_rank,0.0,0.09066252897528847,swing,True,0.85,0.25,0.25
dist_sma_200_rank,0.07,0.06665545203236839,0.878667554008271,ret_126d_rank,0.047779256680451715,0.07553939814056937,swing,True,0.85,0.25,0.25
distance_52w_high_rank,0.14,0.14,0.6368543705725983,dist_sma_200_rank,0.0,0.15865942570675481,swing,True,0.85,0.25,0.25
ret_63d_rank,0.08,0.08,0.6915800136790535,dist_sma_200_rank,0.0,0.0957999216425102,medium,True,0.85,0.25,0.25
ret_126d_rank,0.17,0.12903056193424978,0.9945980167026479,relative_126d_rank,0.2409966945044132,0.15451397153487734,medium,True,0.85,0.25,0.25
mom_12_1_rank,0.22,0.16508714742744576,0.9997623251978752,mom_eur_12_1_rank,0.24960387532979203,0.1976916973466854,medium,True,0.85,0.25,0.25
mom_eur_12_1_rank,0.08,0.06003168997361664,0.9997623251978752,mom_12_1_rank,0.24960387532979203,0.07188788994424923,medium,True,0.85,0.25,0.25
relative_126d_rank,0.14,0.10626046276938217,0.9945980167026479,ret_126d_rank,0.2409966945044132,0.12724680008754605,medium,True,0.85,0.25,0.25
risk_adj_mom_126d_rank,0.12,0.11052202825051255,0.8973898587474373,relative_126d_rank,0.07898309791239547,0.13235002057713,medium,True,0.85,0.25,0.25
dist_sma_200_rank,0.08,0.07617765946556386,0.878667554008271,ret_126d_rank,0.047779256680451715,0.09122267259638553,medium,True,0.85,0.25,0.25
sma200_slope_20d_rank,0.11,0.10796420210285143,0.8611043521662649,mom_12_1_rank,0.01850725361044155,0.12928702627061625,medium,True,0.85,0.25,0.25
mom_12_1_rank,0.25,0.187599031167552,0.9997623251978752,mom_eur_12_1_rank,0.24960387532979203,0.2304423180300294,long,True,0.85,0.25,0.25
mom_eur_12_1_rank,0.15,0.1125594187005312,0.9997623251978752,mom_12_1_rank,0.24960387532979203,0.13826539081801764,long,True,0.85,0.25,0.25
ret_252d_rank,0.15,0.11274542120894919,0.9990183151642033,relative_252d_rank,0.2483638586070054,0.13849387200436747,long,True,0.85,0.25,0.25
relative_252d_rank,0.15,0.11274542120894919,0.9990183151642033,ret_252d_rank,0.2483638586070054,0.13849387200436747,long,True,0.85,0.25,0.25
dist_sma_200_rank,0.1,0.1,0.7584061547191533,sma200_slope_20d_rank,0.0,0.12283769089628849,long,True,0.85,0.25,0.25
sma200_slope_20d_rank,0.2,0.18843308967958083,0.8847007309612575,ret_252d_rank,0.05783455160209578,0.23146685624692956,long,True,0.85,0.25,0.25
