,HPE,DELL,CMBT.BR,MU,VLO,FRO,AMC,PSX,ERO,NAT,DHT,SMTC,REP.MC,SHELL.AS,KIN.BR,OKTA,HALO,P,BIRG.IR,SSABBH.HE
HPE,1.0,0.7623270271636987,-0.11096413922132654,0.5022650121585374,0.24827816002139905,-0.18329494974873398,-0.1245408389585719,0.10301962085373519,0.43165381931912594,-0.07820550441284037,-0.17705442282454853,0.5613494795229054,0.05278408407518562,-0.17411808714504584,-0.29433722883738955,0.009667522483417307,-0.11506636863700936,0.5604304808971617,0.297582634750885,0.21111992724259981
DELL,0.7623270271636987,1.0,0.06171810779890962,0.5465675649677407,0.21405596635514154,-0.030809886814240968,-0.09978605961279101,0.0580553463636026,0.2955164731743059,0.06061215710506878,-0.047824771466825206,0.5233440051553494,-0.08473622281226435,-0.21963583200917822,-0.393474865799848,0.11535783992004146,-0.04886684390812836,0.44868240966501083,0.3405346230348258,0.20819838832282186
CMBT.BR,-0.11096413922132654,0.06171810779890962,1.0,0.08541548577832499,0.2733663154710919,0.5890371014822061,0.14952400925583675,0.23711851457028776,-0.001833818682759961,0.5856106358992057,0.5945457482015006,0.09225365928963154,0.09002362755977754,0.027456456407427318,-0.013332272171744616,0.07276174853599451,0.011069441472672498,-0.05051627384424306,0.06345390588165115,0.3545439783327397
MU,0.5022650121585374,0.5465675649677407,0.08541548577832499,1.0,0.09612705104955432,-0.032824241696799275,-0.0813331633102142,0.019410086472539757,0.48485446938067966,0.163523018979004,0.025321725350433862,0.672434064009512,0.05877499284023663,-0.1857608715029014,-0.26344009244092953,0.02578433935774005,-0.0070860521254557576,0.48191474312760013,0.2254186739620474,0.08535379774539008
VLO,0.24827816002139905,0.21405596635514154,0.2733663154710919,0.09612705104955432,1.0,0.0351206927596029,-0.04533005800855656,0.8890199327436046,-0.12366132100208044,0.19976721284734789,0.09589796859096573,0.19960404043410176,0.450644343618858,0.2367530595231789,-0.21875412526426172,-0.01581571740095025,-0.22426043743379273,0.19513783857671899,0.004530934908248376,0.14014786000385426
FRO,-0.18329494974873398,-0.030809886814240968,0.5890371014822061,-0.032824241696799275,0.0351206927596029,1.0,0.08640711435917753,0.008667043634608696,-0.15801816826945214,0.8498087165355844,0.8997035281578687,0.03713017261351634,-0.06509792756364965,0.11633235089301015,0.02820572602965482,0.09376934088701187,0.09375653574577233,-0.25582798054894973,0.07814275071759415,0.04447797518487785
AMC,-0.1245408389585719,-0.09978605961279101,0.14952400925583675,-0.0813331633102142,-0.04533005800855656,0.08640711435917753,1.0,-0.09977106173195749,-0.03396678680879752,0.13902942593405995,0.22318222903607315,-0.110869541589814,-0.08441047797288402,-0.20661620355729707,0.3483284145340311,0.02479909699599943,-0.07676176594533574,-0.20787117483703607,-0.08359623771212514,0.03252647554398652
PSX,0.10301962085373519,0.0580553463636026,0.23711851457028776,0.019410086472539757,0.8890199327436046,0.008667043634608696,-0.09977106173195749,1.0,-0.16704338738513752,0.18096047224207512,0.04736054276541822,0.05674747536095464,0.5078111527007778,0.35564838144138683,-0.18794975416154067,-0.07753070753355479,-0.1498927337932756,0.12202627822177649,-0.050281571808451296,0.11915785584544286
ERO,0.43165381931912594,0.2955164731743059,-0.001833818682759961,0.48485446938067966,-0.12366132100208044,-0.15801816826945214,-0.03396678680879752,-0.16704338738513752,1.0,-0.12539281833929214,-0.05845362632877949,0.41559175608388216,-0.1771799230964454,-0.3713703129697594,0.0816601903988898,-0.0037624036312882314,0.28607711821211446,0.27901288295734894,0.20496479958799388,0.018821242544786444
NAT,-0.07820550441284037,0.06061215710506878,0.5856106358992057,0.163523018979004,0.19976721284734789,0.8498087165355844,0.13902942593405995,0.18096047224207512,-0.12539281833929214,1.0,0.836118344496531,0.10400342771787977,0.03336612416680859,0.08536341566384383,-0.015740804447592523,-0.011813549753927004,0.04985452868958373,-0.19127192652832645,0.14905406145149033,0.011163952614358402
